"Sgroup_contrast","uniprotname","LogFC","fscore"
"_A4-Fuk vs A3-KAW","PAK6",-0.685390578512057,3.00498133278688
"_A4-Fuk vs A3-KAW","PRKACA",-0.861113273985,2.26250597063348
"_A4-Fuk vs A3-KAW","PRKG1",-1.27750930510325,2.79121403193105
"_A4-Fuk vs A3-KAW","PRKG2",-1.36402929901101,2.57590311301116
"_A4-Fuk vs A3-KAW","PRKX",-0.768661730123865,2.907194713784
"_A4-Fuk vs A3-KAW","RPS6KA5",-1.23091852925355,2.72309048303659
"_A4-Fuk vs A3-KAW","RPS6KB2",-0.693328323118769,2.74886576122866
"_HT vs A4-Fuk","CAMK2A",0.882278722835376,2.88885010525632
"_HT vs A4-Fuk","CAMK2D",1.03344649252095,2.46669522862845
"_HT vs A4-Fuk","CSNK1A1L",0.737319825826763,3.15797974628313
"_HT vs A4-Fuk","PNCK",1.0795207661266,2.57668597626918
"_HT vs A4-Fuk","PRKACA",0.99062030139197,3.02601336071425
"_HT vs A4-Fuk","PRKCA",1.02951165345447,2.96416316225016
"_HT vs A4-Fuk","PRKG1",1.11078874714618,2.77235799231361
"_HT vs A4-Fuk","PRKG2",1.08297765888379,2.80877527420963
"_HT vs A4-Fuk","RPS6KA5",1.35198927528026,2.40015198537428
"_HT vs A4-Fuk","RPS6KB2",0.654632959073157,2.55065082489253
"_HT vs A4-Fuk","STK32C",1.1035890501227,2.94093358724838
"_MC-116 vs A4-Fuk","CSNK1A1L",1.81664519084902,3.0307852406288
"_MC-116 vs A4-Fuk","PRKACA",1.50237385155628,2.47136972723146
"_MC-116 vs A4-Fuk","PRKG1",1.5752198713308,2.49343601343573
"_MC-116 vs A4-Fuk","PRKG2",1.69431005280439,2.678260756168
"_MC-116 vs A4-Fuk","PRKX",1.48995478069169,2.45833453564876
"_MC-116 vs A4-Fuk","RPS6KA5",1.36882625741833,2.74363910409273
"_MC-116 vs A4-Fuk","RPS6KB2",0.695306910506907,2.4104002390641
"_MC-116 vs A4-Fuk","SIK3",1.47667863243355,2.47389632039839
"_MC-116 vs A4-Fuk","TSSK2",2.03679260100524,2.50406378635954
"_A4-Fuk vs A3-KAW","PRKACB",-1.13913991574924,2.60159087589304
"_HT vs A4-Fuk","PRKACB",0.550284787030104,2.38907793307709
"_HT vs A4-Fuk","RPS6KA4",0.819725087001286,2.4328671132952
"_MC-116 vs A4-Fuk","CAMK2A",1.6723218279965,2.67790057767116
"_MC-116 vs A4-Fuk","CAMK2D",1.20106442717106,2.5178737920719
"_MC-116 vs A4-Fuk","PRKCA",1.32534661402597,2.48289533715784
"_A4-Fuk vs A3-KAW","CAMK1D",-1.25614292796376,2.33258477786889
"_A4-Fuk vs A3-KAW","CSNK1A1L",-1.13123618630807,2.41656650978706
"_A4-Fuk vs A3-KAW","PNCK",-0.908410039730813,2.37772633962418
"_HT vs A4-Fuk","PHKG2",0.509402149963673,2.25725788187375
"_HT vs A4-Fuk","PRKX",0.700001412660992,2.39583254463064
"_HT vs A4-Fuk","TTK",0.968485592748856,2.43022947628856
"_MC-116 vs A4-Fuk","PAK6",0.963241230962461,2.1972158944784
"_MC-116 vs A4-Fuk","RPS6KA4",1.06400783189077,2.14502149474602
"_A4-Fuk vs A3-KAW","SNRK",-0.570479927935268,2.02752699353832
"_HT vs A4-Fuk","PAK6",0.3974549676407,1.96544346455544
"_HT vs A4-Fuk","PKN2",1.05662962745522,2.56070344182567
"_HT vs A4-Fuk","PRKCD",0.900109880883059,2.29711449947825
"_MC-116 vs A4-Fuk","SNRK",0.619766786875701,2.09513961674187
"_MC-116 vs A4-Fuk","STK32C",1.03295675807689,1.81945676235705
"_A4-Fuk vs A3-KAW","STK32C",-0.567911617686858,1.9699888745622
"_HT vs A4-Fuk","CAMK2G",0.89208863592675,2.41069735794866
"_HT vs A4-Fuk","EIF2AK3",1.05881064135825,1.72843094615249
"_MC-116 vs A4-Fuk","PRKACB",1.09640449587316,2.07838523802721
"_A4-Fuk vs A3-KAW","RPS6KA4",-0.912280261771808,1.98845050931184
"_HT vs A4-Fuk","CAMK4",0.529532981890945,1.84105450148473
"_HT vs A4-Fuk","SIK3",0.732668064043597,1.83886971183675
"_MC-116 vs A4-Fuk","EIF2AK3",0.871896876984686,1.92324653617052
"_HT vs A4-Fuk","PRKD1",1.54264536646747,1.70951312800289
"_MC-116 vs A4-Fuk","MARK2",1.50176156841364,1.98356883300325
"_MC-116 vs A4-Fuk","PKN2",1.69829090413064,1.67350338614099
"_MC-116 vs A4-Fuk","PRKAA1",1.57524081266236,1.95908978049156
"_A4-Fuk vs A3-KAW","TSSK2",-1.36974864192448,1.37250249489186
"_HT vs A4-Fuk","EIF2AK1",0.773624240067053,1.89975537904629
"_HT vs A4-Fuk","PSKH1",1.57827780865644,1.71674366752816
"_MC-116 vs A4-Fuk","CAMK2G",1.50907674700505,2.14905356825583
"_MC-116 vs A4-Fuk","PHKG2",0.932146056461158,1.95168536641322
"_A4-Fuk vs A3-KAW","EIF2AK3",-0.851514450446393,1.90120929397199
"_MC-116 vs A4-Fuk","CAMK1",1.52312367404881,1.68511636711645
"_MC-116 vs A4-Fuk","EIF2AK1",1.33282913140532,1.69517179755807
"_MC-116 vs A4-Fuk","PAK4",1.20573150432384,1.91840570198252
"_MC-116 vs A4-Fuk","PNCK",1.15433401715553,1.61338813508175
"_MC-116 vs A4-Fuk","PRKD1",1.77479335221272,2.08926497227397
"_A4-Fuk vs A3-KAW","PHKG2",-0.452046199758782,1.72638547765934
"_A4-Fuk vs A3-KAW","PRKCA",-1.17571981078841,1.92407291689038
"_A4-Fuk vs A3-KAW","TTK",-1.66596638542191,1.70941386041617
"_A4-Fuk vs A3-KAW","PRKAA1",-1.24152347886426,1.6401119508268
"_A4-Fuk vs A3-KAW","CAMK4",-0.899391609702888,1.92478072484076
"_A4-Fuk vs A3-KAW","EIF2AK1",-1.0297914577968,1.69742946912671
"_HT vs A4-Fuk","CAMK1",0.791420391191386,1.59497826249113
"_HT vs A4-Fuk","CAMK1D",0.596988905363877,1.83268216896659
"_MC-116 vs A4-Fuk","CAMK1D",1.23317810239329,1.32681317021231
"_A4-Fuk vs A3-KAW","CAMK2D",-0.909938796552626,1.54072712338327
"_A4-Fuk vs A3-KAW","MYLK4",-0.77344056632401,1.90043573286918
"_HT vs A4-Fuk","SNRK",0.422247126996178,1.77087371315137
"_A4-Fuk vs A3-KAW","CAMK2A",-0.943521617530501,1.62549081743206
"_HT vs A4-Fuk","TSSK2",0.961411726773815,1.56267646503604
"_MC-116 vs A4-Fuk","SGK1",1.14953180570245,1.61529316746361
"_A4-Fuk vs A3-KAW","SGK3",-0.756209045320397,1.524626162564
"_HT vs A4-Fuk","PAK4",0.389751344331103,1.74988830255836
"_A4-Fuk vs A3-KAW","MAP3K12",1.19601249480464,1.41132621359366
"_A4-Fuk vs A3-KAW","PRKD1",-1.05931875136862,1.49185942438587
"_A4-Fuk vs A3-KAW","SIK3",-0.710756610454974,1.04658483998582
"_HT vs A4-Fuk","PRKAA1",1.12258238128291,1.52166832025592
"_A4-Fuk vs A3-KAW","PAK4",-0.695465498945403,1.42322028560093
"_A4-Fuk vs A3-KAW","PKN2",-0.853240429732371,1.40394079616906
"_HT vs A4-Fuk","STK38L",0.890925807458335,1.46985785065753
"_MC-116 vs A4-Fuk","CAMK4",1.22164035571879,1.37823937113174
"_MC-116 vs A4-Fuk","PSKH1",2.25342122617631,1.32774107144768
"_MC-116 vs A4-Fuk","TSSK1B",1.70667038313315,1.30052756107157
"_HT vs A4-Fuk","PRKCE",0.427528605114118,1.14911480252095
"_HT vs A4-Fuk","SGK1",0.58309734929807,1.3212096203135
"_MC-116 vs A4-Fuk","CSNK1D",1.79530308334468,1.56262056362605
"_MC-116 vs A4-Fuk","CAMK2B",1.48785082320028,1.35249941732898
"_A4-Fuk vs A3-KAW","CAMK2G",-1.30022403996785,1.24454235758312
"_A4-Fuk vs A3-KAW","IKBKB",-1.28469724667069,1.28337117863766
"_HT vs A4-Fuk","SGK3",0.401859510433996,1.08449216268679
