"Sgroup_contrast","uniprotname","LogFC","fscore"
"0.5_T01 vs DMSO","AKT1",0.133995404260773,0.345564835486939
"0.5_T01 vs DMSO","AKT2",0.110662999046134,0.602192330242804
"0.5_T01 vs DMSO","AKT3",0.0225049793581138,0.0678432088619368
"0.5_T01 vs DMSO","ARAF",0.0621536995941854,0.00826894070094517
"0.5_T01 vs DMSO","ATR",0.0274129501967516,0.22961415452092
"0.5_T01 vs DMSO","AURKA",0.110718351619088,0.133500518068521
"0.5_T01 vs DMSO","AURKB",0.0397626538302951,-0.128740054376954
"0.5_T01 vs DMSO","BRAF",0.0487012538136391,0.265254927545432
"0.5_T01 vs DMSO","CAMK2A",0.188688349245701,1.82948054268771
"0.5_T01 vs DMSO","CAMK2B",0.169687090531119,0.990220053299842
"0.5_T01 vs DMSO","CAMK2D",0.12124299819214,0.619817177786967
"0.5_T01 vs DMSO","CAMK2G",0.182369102694033,1.13766603928894
"0.5_T01 vs DMSO","CAMK4",0.211545853862813,0.479810156104568
"0.5_T01 vs DMSO","CDK1",0.152602814614206,0.228958567845909
"0.5_T01 vs DMSO","CDK10",0.15586162557621,0.347910706836111
"0.5_T01 vs DMSO","CDK11A",0.129650427158812,0.241308829143128
"0.5_T01 vs DMSO","CDK13",0.0897904067309848,0.321357899989165
"0.5_T01 vs DMSO","CDK15",0.140113450597084,0.322238932847824
"0.5_T01 vs DMSO","CDK17",0.140748807508008,0.195270210578498
"0.5_T01 vs DMSO","CDK18",0.0884162184929654,0.313034601808966
"0.5_T01 vs DMSO","CDK19",0.139474433797984,0.466917136903877
"0.5_T01 vs DMSO","CDK2",0.102292177418289,-0.00789430990009317
"0.5_T01 vs DMSO","CDK3",0.116287199710325,-0.100327774018632
"0.5_T01 vs DMSO","CDK4",0.0941561329756934,-0.0539792284620303
"0.5_T01 vs DMSO","CDK5",0.118650700225211,0.191359884968226
"0.5_T01 vs DMSO","CDK6",0.16520540859535,0.440446421534877
"0.5_T01 vs DMSO","CDK7",0.116695459224496,0.685910645703308
"0.5_T01 vs DMSO","CDK9",0.143906799314021,0.344651695343328
"0.5_T01 vs DMSO","CDKL1",0.171496445782641,1.13257750919322
"0.5_T01 vs DMSO","CDKL2",0.21409108173838,0.40711071269144
"0.5_T01 vs DMSO","CDKL4",0.109505733776211,0.164509037575982
"0.5_T01 vs DMSO","CDKL5",0.113075801899009,0.484806089306035
"0.5_T01 vs DMSO","CHEK1",0.157483637758165,0.22577327200605
"0.5_T01 vs DMSO","CHEK2",0.135237969740196,0.292577622965706
"0.5_T01 vs DMSO","CHUK",0.178590415240009,0.660093145990659
"0.5_T01 vs DMSO","CILK1",0.118343423443181,0.311105419090706
"0.5_T01 vs DMSO","COQ8A",0.0752349933329458,-0.0481955669524937
"0.5_T01 vs DMSO","CSNK1A1",0.107823277012252,0.110216718688584
"0.5_T01 vs DMSO","CSNK2A1",0.251132624220822,0.75202229140747
"0.5_T01 vs DMSO","DAPK1",0.0785854633212381,0.00337117068285207
"0.5_T01 vs DMSO","DAPK2",0.0860373750957195,-0.10365330333305
"0.5_T01 vs DMSO","DAPK3",0.121692319368688,0.0937831528337991
"0.5_T01 vs DMSO","DCLK1",0.0621289393790729,0.0264644454802954
"0.5_T01 vs DMSO","DCLK2",0.0301084976479739,-0.0520014552690896
"0.5_T01 vs DMSO","DCLK3",-0.0653619008386383,-0.164962629300526
"0.5_T01 vs DMSO","DYRK1A",0.0624067238400803,0.255072235386493
"0.5_T01 vs DMSO","GRK2",0.0850771497806703,0.326091001980827
"0.5_T01 vs DMSO","GRK3",0.0564625488930072,0.19803613352323
"0.5_T01 vs DMSO","GSK3A",0.0440592816374105,0.286467467753283
"0.5_T01 vs DMSO","GSK3B",0.14589317300673,0.184550300147451
"0.5_T01 vs DMSO","IKBKB",0.15521484247306,0.760829118612839
"0.5_T01 vs DMSO","IKBKE",0.118069530575628,0.467255919821888
"0.5_T01 vs DMSO","MAK",0.171609662213625,0.548962825150397
"0.5_T01 vs DMSO","MAP3K14",0.0673411655129031,0.40148416803358
"0.5_T01 vs DMSO","MAP3K8",0.154328783394328,-0.110179317614293
"0.5_T01 vs DMSO","MAP4K4",0.109278281331399,0.341503904777253
"0.5_T01 vs DMSO","MAPK1",0.0793176413846855,0.120949380618464
"0.5_T01 vs DMSO","MAPK10",0.10769478819043,0.214297921497516
"0.5_T01 vs DMSO","MAPK11",0.0554880579716859,0.384413140127043
"0.5_T01 vs DMSO","MAPK12",0.00798120473104885,0.133624831272746
"0.5_T01 vs DMSO","MAPK13",0.066468425316332,-0.183726303345783
"0.5_T01 vs DMSO","MAPK14",0.117588615248383,-0.131372374519885
"0.5_T01 vs DMSO","MAPK3",0.0594919171660637,0.0800265241578354
"0.5_T01 vs DMSO","MAPK7",0.0802738118435968,-0.192761819336704
"0.5_T01 vs DMSO","MAPK8",0.0625375710641085,-0.0525449785345026
"0.5_T01 vs DMSO","MAPK9",0.114439645584031,0.0996550586651861
"0.5_T01 vs DMSO","MAPKAPK2",0.120911011387803,-0.165044273123757
"0.5_T01 vs DMSO","MAPKAPK3",0.159171447499709,0.12799316824343
"0.5_T01 vs DMSO","MINK1",0.173919175255507,-0.00368341447959508
"0.5_T01 vs DMSO","MKNK2",0.167053662916328,0.719052588895709
"0.5_T01 vs DMSO","MTOR",0.196283035741017,0.514468281616678
"0.5_T01 vs DMSO","MYLK2",0.0455073973639919,0.329392265845115
"0.5_T01 vs DMSO","MYLK3",0.0831378145739275,0.0293179780112186
"0.5_T01 vs DMSO","MYLK4",0.000891839272785288,0.0606476835287938
"0.5_T01 vs DMSO","NEK10",0.0952119437683474,0.315669449111377
"0.5_T01 vs DMSO","NEK8",0.106939644892748,0.344946042157292
"0.5_T01 vs DMSO","NPR1",0.0690478492024145,0.208291285236526
"0.5_T01 vs DMSO","NPR2",0.0900926838943714,0.0927875694933114
"0.5_T01 vs DMSO","NUAK1",0.104019213959993,0.490719013130973
"0.5_T01 vs DMSO","PAK1",0.0295642858872921,0.113941420553929
"0.5_T01 vs DMSO","PAK2",-0.0484288018276484,0.101460781976148
"0.5_T01 vs DMSO","PDPK1",0.106772623222512,0.247273263455764
"0.5_T01 vs DMSO","PIM1",0.13705358426567,0.55493904824772
"0.5_T01 vs DMSO","PIM2",0.0933238546384171,0.191490568252584
"0.5_T01 vs DMSO","PIM3",0.118467638604513,0.348958646967985
"0.5_T01 vs DMSO","PKN1",0.126888176841209,0.428142623266273
"0.5_T01 vs DMSO","PKN2",0.145132227990867,0.486535329789626
"0.5_T01 vs DMSO","PLK3",0.0824436104973547,0.314021978081226
"0.5_T01 vs DMSO","PRKAA1",0.183121444144718,0.575972856677705
"0.5_T01 vs DMSO","PRKACA",0.190358337627446,3.02591366022659
"0.5_T01 vs DMSO","PRKACB",0.160178066173148,1.68047505684505
