"Final score rank","contrast","Sgroup_contrast","Kinase Name","Kinase Uniprot ID","Kinase entrezid","Kinase Group","Kinase Family","Median Final score","Mean Significance Score","Mean Specificity Score","Median Kinase Statistic","Mean peptide set size"
5,"T1 vs Control","Sgroup1_T1 vs Control","ABL1","P00519",25,"TYR","Abl",2.48430695876678,1.06381673600468,1.41881302052156,1.63502915771989,53
13,"T1 vs Control","Sgroup1_T1 vs Control","ABL2","P42684",27,"TYR","Abl",1.97530974624981,1.10985918134793,1.18167963215255,0.879993752389014,57
71,"T1 vs Control","Sgroup1_T1 vs Control","ALK","Q9UM73",238,"TYR","ALK",0.238239259161686,0.346909651274942,-0.0986988432376291,0.14534548291369,52
17,"T1 vs Control","Sgroup1_T1 vs Control","AXL","P30530",558,"TYR","Axl",2.02906702486728,1.04767418516983,1.09960665140399,1.0891010716555,67
47,"T1 vs Control","Sgroup1_T1 vs Control","BLK","P51451",640,"TYR","Src",1.32233977583071,0.704716710194007,0.0372362628278426,0.515175083806713,22
25,"T1 vs Control","Sgroup1_T1 vs Control","BMX","P51813",660,"TYR","Tec",1.75782998259192,1.07765743473828,0.803637914002581,1.89582212447888,34
52,"T1 vs Control","Sgroup1_T1 vs Control","BTK","Q06187",695,"TYR","Tec",1.20496788166929,0.921029821331978,0.0246832186323067,0.542739807050946,18
61,"T1 vs Control","Sgroup1_T1 vs Control","CSF1R","P07333",1436,"TYR","PDGFR",0.75885278725775,0.649382800147341,0.375889112698828,0.623294247469184,7
20,"T1 vs Control","Sgroup1_T1 vs Control","CSK","P41240",1445,"TYR","Csk",2.11056112020389,0.886659372974238,0.90385556049737,0.796273122789693,44
16,"T1 vs Control","Sgroup1_T1 vs Control","EGFR","P00533",1956,"TYR","EGFR",1.8881423077593,1.01224734047257,1.06698325407514,0.958215239326876,54
39,"T1 vs Control","Sgroup1_T1 vs Control","EPHA1","P21709",2041,"TYR","Eph",1.07182042605447,0.921660014214743,0.309534521788387,0.616520279764005,4
67,"T1 vs Control","Sgroup1_T1 vs Control","EPHA10","Q5JZY3",284656,"TYR","Eph",0.414630021060919,0.609415208183863,0.242624078234835,0.546171386971949,3
19,"T1 vs Control","Sgroup1_T1 vs Control","EPHA2","P29317",1969,"TYR","Eph",2.05927935647714,0.900954317074637,1.01223260226041,1.49579151876643,8
64,"T1 vs Control","Sgroup1_T1 vs Control","EPHA3","P29320",2042,"TYR","Eph",0.657386658446497,0.621602839119835,-0.0340799584409468,0.469682930425913,4
65,"T1 vs Control","Sgroup1_T1 vs Control","EPHA4","P54764",2043,"TYR","Eph",0.776916857629432,0.642993209121831,0.0140831636193919,-0.163754604110462,4
66,"T1 vs Control","Sgroup1_T1 vs Control","EPHA5","P54756",2044,"TYR","Eph",0.907389363213337,0.189096832075499,0.132728598011317,0.969889180432719,4
59,"T1 vs Control","Sgroup1_T1 vs Control","EPHA7","Q15375",2045,"TYR","Eph",1.10988465676749,0.585207882282601,0.157253568131384,0.326873028903896,4
73,"T1 vs Control","Sgroup1_T1 vs Control","EPHA8","P29322",2046,"TYR","Eph",0.0404713990295031,0.141942151750106,0.0443012261655421,0.0673530679942286,4
60,"T1 vs Control","Sgroup1_T1 vs Control","EPHB1","P54762",2047,"TYR","Eph",0.679898851841598,0.456978211109973,-0.130008925841615,-0.411860859332825,6
55,"T1 vs Control","Sgroup1_T1 vs Control","EPHB2","P29323",2048,"TYR","Eph",1.06228220312539,0.745158516500682,0.530872592670846,0.845500274516,5
63,"T1 vs Control","Sgroup1_T1 vs Control","EPHB3","P54753",2049,"TYR","Eph",0.861724423698631,0.311929897540118,0.289631703282357,0.559533253501969,4
45,"T1 vs Control","Sgroup1_T1 vs Control","EPHB4","P54760",2050,"TYR","Eph",1.09709787350158,1.07285582280489,0.110882149556718,-0.869335588074722,3
14,"T1 vs Control","Sgroup1_T1 vs Control","ERBB2","P04626",2064,"TYR","EGFR",2.30359135179215,1.01275094058025,1.26987551934038,1.24526904155563,40
2,"T1 vs Control","Sgroup1_T1 vs Control","ERBB3","P21860",2065,"TYR","EGFR",2.9394106754396,1.04837288380696,2.00176959661842,1.2924071545891,53
7,"T1 vs Control","Sgroup1_T1 vs Control","ERBB4","Q15303",2066,"TYR","EGFR",2.44899702969871,1.02413446552537,1.10560680114138,1.4922972757083,34
70,"T1 vs Control","Sgroup1_T1 vs Control","FER","P16591",2241,"TYR","Fer",0.391625522348488,0.487659322751575,0.158156823262959,-0.201447872033386,10
43,"T1 vs Control","Sgroup1_T1 vs Control","FES","P07332",2242,"TYR","Fer",1.31635279898274,0.902935662240871,0.22947472198058,-0.88928990263695,10
42,"T1 vs Control","Sgroup1_T1 vs Control","FGFR1","P11362",2260,"TYR","FGFR",1.43850137434364,0.947199925165571,0.471630222546979,-0.260324416761222,20
31,"T1 vs Control","Sgroup1_T1 vs Control","FGFR2","P21802",2263,"TYR","FGFR",1.66411424795889,1.04821306903106,0.716478142161762,-0.813257801206067,13
53,"T1 vs Control","Sgroup1_T1 vs Control","FGFR3","P22607",2261,"TYR","FGFR",1.34887495700224,0.757259765421436,0.508389813767997,-0.378008439953299,12
57,"T1 vs Control","Sgroup1_T1 vs Control","FGFR4","P22455",2264,"TYR","FGFR",0.663002863738127,0.51060025987576,-0.0473380705278372,-0.409780087140684,22
21,"T1 vs Control","Sgroup1_T1 vs Control","FGR","P09769",2268,"TYR","Src",1.85209663976297,0.90108818478022,0.59394445983025,0.928046183114736,13
36,"T1 vs Control","Sgroup1_T1 vs Control","FLT1","P17948",2321,"TYR","VEGFR",1.2754506017093,1.03184954589946,0.334042286735809,-0.64486290717907,21
28,"T1 vs Control","Sgroup1_T1 vs Control","FLT3","P36888",2322,"TYR","PDGFR",1.68675301571871,0.89155358820839,0.719268522636478,1.49882376720004,10
11,"T1 vs Control","Sgroup1_T1 vs Control","FLT4","P35916",2324,"TYR","VEGFR",1.94316710685977,1.04013707403374,1.23265879458418,-2.7406740897287,3
26,"T1 vs Control","Sgroup1_T1 vs Control","FRK","P42685",2444,"TYR","Src",1.44424913101115,1.13852013696226,0.596380587672219,0.388816062408609,46
27,"T1 vs Control","Sgroup1_T1 vs Control","FYN","P06241",2534,"TYR","Src",1.66187307393864,1.1395254276741,0.873510112325552,1.00374009087546,22
34,"T1 vs Control","Sgroup1_T1 vs Control","HCK","P08631",3055,"TYR","Src",1.26681698519356,1.09275809909524,0.649129424665379,0.566655907587255,24
32,"T1 vs Control","Sgroup1_T1 vs Control","IGF1R","P08069",3480,"TYR","InsR",1.50233346411423,0.771479962143764,0.670242441250399,1.08000565868193,13
22,"T1 vs Control","Sgroup1_T1 vs Control","INSR","P06213",3643,"TYR","InsR",1.65421552677658,1.00024926370176,1.65208127375278,0.89463523653444,24
33,"T1 vs Control","Sgroup1_T1 vs Control","INSRR","P14616",3645,"TYR","InsR",1.54932431242485,1.094071667255,0.52941334776806,1.06440859337773,4
68,"T1 vs Control","Sgroup1_T1 vs Control","ITK","Q08881",3702,"TYR","Tec",0.57204129893081,0.445824543417307,0.0844810191432674,-0.526433751045126,38
69,"T1 vs Control","Sgroup1_T1 vs Control","JAK2","O60674",3717,"TYR","Jak",0.627094661485458,0.609672252216769,0.271063279305921,-0.557368685905296,17
72,"T1 vs Control","Sgroup1_T1 vs Control","JAK3","P52333",3718,"TYR","Jak",-0.0609131450436511,0.177898405986107,0.191920108760706,0.374298511489278,4
6,"T1 vs Control","Sgroup1_T1 vs Control","KDR","P35968",3791,"TYR","VEGFR",2.08061082107578,1.11121554053185,1.57263106013288,2.11809229950502,16
58,"T1 vs Control","Sgroup1_T1 vs Control","KIT","P10721",3815,"TYR","PDGFR",0.865568009829448,0.695699321928425,0.19784028362217,0.460405525260095,14
15,"T1 vs Control","Sgroup1_T1 vs Control","LCK","P06239",3932,"TYR","Src",2.30054652549746,1.07574250481896,0.942283001197948,2.11937271135499,29
62,"T1 vs Control","Sgroup1_T1 vs Control","LTK","P29376",4058,"TYR","ALK",0.24167125681959,0.543840278340024,0.323172026704968,0.647094315812918,20
1,"T1 vs Control","Sgroup1_T1 vs Control","LYN","P07948",4067,"TYR","Src",3.9058229949497,1.07438913695764,2.65962979506923,4.25555195774907,22
41,"T1 vs Control","Sgroup1_T1 vs Control","MATK","P42679",4145,"TYR","Csk",1.53742135146431,0.803388899018133,0.339444929605228,0.730023247577606,30
9,"T1 vs Control","Sgroup1_T1 vs Control","MERTK","Q12866",10461,"TYR","Axl",2.61146021754984,1.16191318070294,1.35067049340652,1.34523478087436,47
18,"T1 vs Control","Sgroup1_T1 vs Control","MET","P08581",4233,"TYR","Met",1.75017164817034,1.04808600327482,0.734146216319867,1.00873971770225,32
3,"T1 vs Control","Sgroup1_T1 vs Control","MST1R","Q04912",4486,"TYR","Met",2.67316328952381,1.05899447500224,1.5783298599414,4.28579170873752,8
40,"T1 vs Control","Sgroup1_T1 vs Control","NTRK1","P04629",4914,"TYR","Trk",1.64594534337327,0.903281873146524,0.629339474788893,0.476157156840665,18
37,"T1 vs Control","Sgroup1_T1 vs Control","NTRK2","Q16620",4915,"TYR","Trk",1.2975667656721,0.879413314270106,0.412816417188498,0.214552926725957,24
35,"T1 vs Control","Sgroup1_T1 vs Control","NTRK3","Q16288",4916,"TYR","Trk",0.931277519067036,0.93449602447703,0.449588185032984,0.740063161306559,29
24,"T1 vs Control","Sgroup1_T1 vs Control","PDGFRA","P16234",5156,"TYR","PDGFR",1.79027928262002,1.02135158503252,0.702960073657121,1.39103021443738,4
51,"T1 vs Control","Sgroup1_T1 vs Control","PDGFRB","P09619",5159,"TYR","PDGFR",0.998479736096889,0.952559685470184,0.166547737911062,-0.0265937522493797,16
29,"T1 vs Control","Sgroup1_T1 vs Control","PTK2","Q05397",5747,"TYR","FAK",1.46581463349354,0.953557017458976,0.540464775960548,0.320152730833779,51
50,"T1 vs Control","Sgroup1_T1 vs Control","PTK2B","Q14289",2185,"TYR","FAK",1.44183626327323,0.866749746944608,0.572628072719666,0.304312319383132,37
48,"T1 vs Control","Sgroup1_T1 vs Control","PTK6","Q13882",5753,"TYR","Src",1.2050159893144,0.712643700488343,0.216286962667446,0.515340078448355,76
38,"T1 vs Control","Sgroup1_T1 vs Control","RET","P07949",5979,"TYR","Ret",1.14301829072452,0.765179945082588,0.364082161473329,0.0256354282739814,23
49,"T1 vs Control","Sgroup1_T1 vs Control","ROR1","Q01973",4919,"TYR","Ror",1.52972619700435,0.985925997673665,0.195542422374654,0.290772081072605,3
56,"T1 vs Control","Sgroup1_T1 vs Control","ROS1","P08922",6098,"TYR","Sev",1.18133125732719,0.575851052633848,0.392375194244825,-1.16600899181793,4
10,"T1 vs Control","Sgroup1_T1 vs Control","RYK","P34925",6259,"TYR","Ryk",1.90532569515627,0.835209660537977,1.09626941580158,2.83823088385779,5
4,"T1 vs Control","Sgroup1_T1 vs Control","SRC","P12931",6714,"TYR","Src",2.45019351041521,0.947891443698899,1.53477350253325,1.27646905963557,49
54,"T1 vs Control","Sgroup1_T1 vs Control","SRMS","Q9H3Y6",6725,"TYR","Src",0.517432776159104,0.929893824468221,0.155527882376062,-0.0635689708339864,38
12,"T1 vs Control","Sgroup1_T1 vs Control","SYK","P43405",6850,"TYR","Syk",2.45696185043532,1.07647220762901,0.858148005125261,1.33928311670753,82
8,"T1 vs Control","Sgroup1_T1 vs Control","TEC","P42680",7006,"TYR","Tec",2.24817771148164,0.693170493303968,0.947278796985057,1.32532546670265,42
44,"T1 vs Control","Sgroup1_T1 vs Control","TXK","P42681",7294,"TYR","Tec",1.26063036637618,1.03790868534495,0.415880423461594,0.924296654009424,26
46,"T1 vs Control","Sgroup1_T1 vs Control","TYRO3","Q06418",7301,"TYR","Axl",1.08639022208295,0.953392214230558,0.371087977525947,0.50649102894979,49
30,"T1 vs Control","Sgroup1_T1 vs Control","YES1","P07947",7525,"TYR","Src",1.49236415604415,1.04789499384277,0.607177768799837,0.562390448858676,27
23,"T1 vs Control","Sgroup1_T1 vs Control","ZAP70","P43403",7535,"TYR","Syk",1.91655680689824,0.94559364042931,0.72572276460182,0.49779477553858,69
