"Final score rank","contrast","Sgroup_contrast","Kinase Name","Kinase Uniprot ID","Kinase Group","Kinase Family","Median Final score","Mean Significance Score","Mean Specificity Score","Median Kinase Statistic","Mean peptide set size"
30,"DrugA vs Control","U2OS_DrugA vs Control","ABL1","P00519","TYR","Abl",1.44646045803359,0.941869389970503,0.782120193941909,-0.790841029371095,48
84,"DrugA vs Control","U2OS_DrugA vs Control","ABL2","P42684","TYR","Abl",0.646019002038556,0.8172180389625,0.148788594991101,-0.836056042187977,57
49,"DrugA vs Control","U2OS_DrugA vs Control","ALK","Q9UM73","TYR","ALK",1.65990878095148,1.03388159321252,0.52830863635975,-0.771163509113021,45
71,"DrugA vs Control","U2OS_DrugA vs Control","AXL","P30530","TYR","Axl",1.59465150265493,0.879297340970913,0.117739251734088,-0.707705342812902,58
20,"DrugA vs Control","U2OS_DrugA vs Control","BLK","P51451","TYR","Src",2.04783309604075,0.785876062822322,1.20508544333528,-0.924647951448458,32
99,"DrugA vs Control","U2OS_DrugA vs Control","BMPR2","Q13873","TKL","STKR",0.282859487003567,0.336573960167372,-0.128979214039731,-0.381264585624388,9
56,"DrugA vs Control","U2OS_DrugA vs Control","BMX","P51813","TYR","Tec",1.25409645487877,0.831891532398968,0.211896501705716,-0.722823810927835,36
83,"DrugA vs Control","U2OS_DrugA vs Control","BTK","Q06187","TYR","Tec",1.06164949574416,0.79349071987616,0.145186762825314,-0.51066493228875,19
101,"DrugA vs Control","U2OS_DrugA vs Control","CHEK1","O14757","CAMK","CAMKL",0.141785577261535,0.153681111710181,0.0337115721243844,-0.156858511644563,4
54,"DrugA vs Control","U2OS_DrugA vs Control","CSF1R","P07333","TYR","PDGFR",1.49268795247143,0.733729972444992,0.691367424999013,-0.762070033775571,10
92,"DrugA vs Control","U2OS_DrugA vs Control","CSK","P41240","TYR","Csk",0.99466724196956,0.596349699687837,-0.182214887065457,-0.629923912625128,47
22,"DrugA vs Control","U2OS_DrugA vs Control","DDR1","Q08345","TYR","DDR",1.84646944511965,1.37964480616276,0.63129106661587,-0.798816166671898,14
72,"DrugA vs Control","U2OS_DrugA vs Control","DDR2","Q16832","TYR","DDR",0.665901946285137,0.792372134801174,0.279009223985686,-0.557988235846805,9
91,"DrugA vs Control","U2OS_DrugA vs Control","EGFR","P00533","TYR","EGFR",0.688727959952646,0.938989715473702,0.0171418965871735,-0.508399309280141,50
63,"DrugA vs Control","U2OS_DrugA vs Control","EPHA1","P21709","TYR","Eph",1.35426456180058,0.764512320163028,0.38501040141073,-0.499815546614033,7
10,"DrugA vs Control","U2OS_DrugA vs Control","EPHA10","Q5JZY3","TYR","Eph",3.08546664958461,1.23936906811419,1.43323691803422,-1.33342596768312,3
70,"DrugA vs Control","U2OS_DrugA vs Control","EPHA2","P29317","TYR","Eph",0.974425390835585,0.697527988570876,0.376550802712389,-0.618810906386142,13
97,"DrugA vs Control","U2OS_DrugA vs Control","EPHA3","P29320","TYR","Eph",0.778769097744397,0.484008826605184,0.0366603838471251,-0.365668411632458,8
47,"DrugA vs Control","U2OS_DrugA vs Control","EPHA4","P54764","TYR","Eph",1.52060250716427,0.806684182709761,1.04713435648202,-0.863257643958358,10
