"Final score rank","contrast","Sgroup_contrast","Kinase Name","Kinase Uniprot ID","Kinase entrezid","Kinase Group","Kinase Family","Median Final score","Mean Significance Score","Mean Specificity Score","Median Kinase Statistic","Mean peptide set size"
69,"T1 vs Control","Sgroup1_T1 vs Control","AKT1","P31749",207,"AGC","Akt",0.985501833955919,0.669972631083821,0.448410623413319,-0.00683460074557414,28
81,"T1 vs Control","Sgroup1_T1 vs Control","AKT2","P31751",208,"AGC","Akt",0.632045545977653,0.674200052899033,0.0850387178088778,0.0564663804668741,28
113,"T1 vs Control","Sgroup1_T1 vs Control","AKT3","Q9Y243",10000,"AGC","Akt",0.377714875127535,0.211910391120462,0.204303052499755,0.106187715352954,9
123,"T1 vs Control","Sgroup1_T1 vs Control","ARAF","P10398",369,"TKL","RAF",-0.17573064388422,-0.0705555600992123,0.177041722003405,-0.167244322435758,3
79,"T1 vs Control","Sgroup1_T1 vs Control","ATR","Q13535",545,"Atypical","PIKK",0.68309897386278,0.476247360081844,0.335729710933418,0.191267397276379,8
47,"T1 vs Control","Sgroup1_T1 vs Control","AURKA","O14965",6790,"CAMK","Aur",1.8730605195638,1.14439878193457,0.305271022103487,0.682465278634963,5
14,"T1 vs Control","Sgroup1_T1 vs Control","AURKB","Q96GD4",9212,"CAMK","Aur",2.02838897053394,0.88512078988876,1.22530028136556,1.3411178553413,4
124,"T1 vs Control","Sgroup1_T1 vs Control","BRAF","P15056",673,"TKL","RAF",0.0917682143896869,-0.0675505235199993,0.0710879330264756,-0.13169769130531,3
59,"T1 vs Control","Sgroup1_T1 vs Control","CAMK2A","Q9UQM7",815,"CAMK","CAMK2",1.56589265287977,0.633613144964384,0.8408048169416,0.594725106508497,7
97,"T1 vs Control","Sgroup1_T1 vs Control","CAMK2B","Q13554",816,"CAMK","CAMK2",0.42004998574305,0.328417047207897,0.21349262214816,0.125004927748788,6
42,"T1 vs Control","Sgroup1_T1 vs Control","CAMK2D","Q13557",817,"CAMK","CAMK2",1.65991586677891,1.13592955948447,1.12177957079647,0.95384202040549,8
6,"T1 vs Control","Sgroup1_T1 vs Control","CAMK2G","Q13555",818,"CAMK","CAMK2",1.85673590366844,0.898054647316788,1.57135988546507,0.831240809887345,8
67,"T1 vs Control","Sgroup1_T1 vs Control","CAMK4","Q16566",814,"CAMK","CAMK1",0.977039511380485,0.570918630460256,0.471348996962753,0.265811704719769,11
4,"T1 vs Control","Sgroup1_T1 vs Control","CDK1","P06493",983,"CMGC","CDK",2.57742117557554,1.17178393578295,1.23477300905148,0.89713849154029,18
85,"T1 vs Control","Sgroup1_T1 vs Control","CDK10","Q15131",8558,"CMGC","CDK",0.158068461029699,0.502973749787793,0.0805010926662839,0.275393840888612,5
57,"T1 vs Control","Sgroup1_T1 vs Control","CDK11A","Q9UQ88",728642,"CMGC","CDK",1.12538792964178,0.884047937372967,0.404265740850587,0.670921659323831,4
63,"T1 vs Control","Sgroup1_T1 vs Control","CDK13","Q14004",8621,"CMGC","CDK",0.637030439320116,0.81787802369269,0.274979794067004,0.515201720189664,4
74,"T1 vs Control","Sgroup1_T1 vs Control","CDK14","O94921",5218,"CMGC","CDK",0.953511911259845,0.391439288159178,0.506444349069056,-0.89084152277883,3
102,"T1 vs Control","Sgroup1_T1 vs Control","CDK15","Q96Q40",65061,"CMGC","CDK",0.411703549700394,0.309385694108593,0.37382220083663,-0.0783243894983331,6
41,"T1 vs Control","Sgroup1_T1 vs Control","CDK17","Q00537",5128,"CMGC","CDK",1.4054382423615,0.974922599649027,0.675873031116992,0.564205168174859,3
80,"T1 vs Control","Sgroup1_T1 vs Control","CDK18","Q07002",5129,"CMGC","CDK",0.832858782664501,0.482033150099032,0.192409455712881,0.400894518390429,4
7,"T1 vs Control","Sgroup1_T1 vs Control","CDK19","Q9BWU1",23097,"CMGC","CDK",2.35734399667333,0.936850357447352,1.27955379295383,0.918892621488415,5
62,"T1 vs Control","Sgroup1_T1 vs Control","CDK2","P24941",1017,"CMGC","CDK",1.25347829583662,0.581471657783235,0.216394097624981,0.690153365004698,16
61,"T1 vs Control","Sgroup1_T1 vs Control","CDK3","Q00526",1018,"CMGC","CDK",1.30130232559263,0.489531591559794,0.431126658443366,0.229884361536117,11
8,"T1 vs Control","Sgroup1_T1 vs Control","CDK4","P11802",1019,"CMGC","CDK",1.87363176536183,1.0699905496395,1.25604923041845,0.81265048017879,7
32,"T1 vs Control","Sgroup1_T1 vs Control","CDK5","Q00535",1020,"CMGC","CDK",1.60094272119391,0.470205802202506,1.1656959821836,0.749618174157791,13
