"Final score rank","contrast","Sgroup_contrast","Kinase Name","Kinase Uniprot ID","Kinase Group","Kinase Family","Median Final score","Mean Significance Score","Mean Specificity Score","Median Kinase Statistic","Mean peptide set size"
128,"DrugA vs Control","U2OS_DrugA vs Control","AAK1","Q2M2I8","OTHER","NAK",1.05988394835268,0.444194306334782,0.731955982536691,-0.364740308694157,3
157,"DrugA vs Control","U2OS_DrugA vs Control","ACVR2A","P27037","TKL","STKR",0.656221615343861,0.235877550173246,0.355046073031578,-0.156125507035904,3
66,"DrugA vs Control","U2OS_DrugA vs Control","AKT1","P31749","AGC","Akt",1.90605328699778,0.637206361494455,0.835219295785727,-0.0350068572464353,26
70,"DrugA vs Control","U2OS_DrugA vs Control","AKT2","P31751","AGC","Akt",1.81220568148693,0.674630510252806,0.679399023574147,-0.285310049747905,27
88,"DrugA vs Control","U2OS_DrugA vs Control","AKT3","Q9Y243","AGC","Akt",1.21371812017561,0.426703327376088,0.683611230269598,-0.166625014590161,8
43,"DrugA vs Control","U2OS_DrugA vs Control","ALPK1","Q96QP1","Atypical","Alpha",1.51089822397963,0.906094245926115,1.00942161713699,-0.553545870280234,3
170,"DrugA vs Control","U2OS_DrugA vs Control","ATM","Q13315","Atypical","PIKK",0.385973274066867,0.288561664470415,0.175112676422616,0.184910762751105,3
206,"DrugA vs Control","U2OS_DrugA vs Control","ATR","Q13535","Atypical","PIKK",0.279509803517859,0.226062928512721,0.111966266636778,0.0118865489267569,8
3,"DrugA vs Control","U2OS_DrugA vs Control","AURKA","O14965","CAMK","Aur",4.98787985441353,1.28906533323823,2.75612312085577,-0.592634271212139,12
2,"DrugA vs Control","U2OS_DrugA vs Control","AURKB","Q96GD4","CAMK","Aur",4.02657582495835,1.70518869187927,2.86762397457586,-1.49533405110055,6
7,"DrugA vs Control","U2OS_DrugA vs Control","AURKC","Q9UQB9","CAMK","Aur",4.33213844593169,1.51448581720972,2.26738537015396,-1.2295346004339,5
129,"DrugA vs Control","U2OS_DrugA vs Control","BMP2K","Q9NSY1","OTHER","NAK",1.03405692038097,0.495346817430943,0.218719477576716,-0.282530369146126,3
203,"DrugA vs Control","U2OS_DrugA vs Control","BRAF","P15056","TKL","RAF",0.560336838427885,0.193809162324483,-0.117528850810135,-0.11876892931711,3
209,"DrugA vs Control","U2OS_DrugA vs Control","BRSK1","Q8TDC3","CAMK","CAMKL",0.481781775080734,0.147649386250148,0.189743321057912,0.191304068368923,6
130,"DrugA vs Control","U2OS_DrugA vs Control","BRSK2","Q8IWQ3","CAMK","CAMKL",0.859314752828785,0.320870855390654,0.520397129438732,0.164341416635637,8
108,"DrugA vs Control","U2OS_DrugA vs Control","BUB1","O43683","OTHER","BUB",0.664019288926294,0.224393637567884,0.595873025661512,-0.303327382469857,12
87,"DrugA vs Control","U2OS_DrugA vs Control","CAMK1","Q14012","CAMK","CAMK1",0.805143865418694,0.474121888074301,0.603680819033392,-0.489078621448845,6
225,"DrugA vs Control","U2OS_DrugA vs Control","CAMK1D","Q8IU85","CAMK","CAMK1",0.153252504292121,0.322461372869929,-0.105066130014082,0.118953354428655,6
140,"DrugA vs Control","U2OS_DrugA vs Control","CAMK1G","Q96NX5","CAMK","CAMK1",0.634116613481684,0.36337617223106,0.386449053915426,0.0725810912420919,4
163,"DrugA vs Control","U2OS_DrugA vs Control","CAMK2A","Q9UQM7","CAMK","CAMK2",0.441269084762517,0.119768432336067,0.478827623440496,-0.184015835179429,6
