"uniprotname","cell_line","LogFC","Kinase_group","group_kin"
"AKT1","A3KAW",0.865150309109083,"AGC","AGC_AKT1"
"AKT1","A4Fuk",-1.99759915927097,"AGC","AGC_AKT1"
"AKT1","DB",-0.382546974423862,"AGC","AGC_AKT1"
"AKT1","HT",-1.66650374377629,"AGC","AGC_AKT1"
"AKT1","MC116",-0.908590101380122,"AGC","AGC_AKT1"
"AKT1","NUDUL1",-1.48867570531613,"AGC","AGC_AKT1"
"AKT1","SLVL",1.07233018901368,"AGC","AGC_AKT1"
"AKT1","SUDHL16",-3.12705179855171,"AGC","AGC_AKT1"
"AKT1","TK",0.432247273614176,"AGC","AGC_AKT1"
"AKT1","WSUDLCL2",-4.61078942504039,"AGC","AGC_AKT1"
"AURKA","A3KAW",-1.91495828452538,"CAMK","CAMK_AURKA"
"AURKA","A4Fuk",-0.845851235319711,"CAMK","CAMK_AURKA"
"AURKA","DB",-1.0626156937793,"CAMK","CAMK_AURKA"
"AURKA","HT",1.3618120515695,"CAMK","CAMK_AURKA"
"AURKA","MC116",-0.343228729356613,"CAMK","CAMK_AURKA"
"AURKA","NUDUL1",-1.56282665557871,"CAMK","CAMK_AURKA"
"AURKA","SLVL",0.839579375165811,"CAMK","CAMK_AURKA"
"AURKA","SUDHL16",-2.57480568778991,"CAMK","CAMK_AURKA"
"AURKA","TK",0.0965560434391766,"CAMK","CAMK_AURKA"
"AURKA","WSUDLCL2",0.423854960539648,"CAMK","CAMK_AURKA"
"CHEK1","A3KAW",-0.838327240903082,"CAMK","CAMK_CHEK1"
"CHEK1","A4Fuk",-1.50091914624891,"CAMK","CAMK_CHEK1"
"CHEK1","DB",0.0993475186619761,"CAMK","CAMK_CHEK1"
"CHEK1","HT",-0.775573773479108,"CAMK","CAMK_CHEK1"
"CHEK1","MC116",-0.532193672797178,"CAMK","CAMK_CHEK1"
"CHEK1","NUDUL1",-2.0074122495236,"CAMK","CAMK_CHEK1"
"CHEK1","SLVL",0.850210312399936,"CAMK","CAMK_CHEK1"
"CHEK1","SUDHL16",-0.702146169180412,"CAMK","CAMK_CHEK1"
"CHEK1","TK",-0.197346658468716,"CAMK","CAMK_CHEK1"
"CHEK1","WSUDLCL2",-0.383749171501044,"CAMK","CAMK_CHEK1"
"CDK1","A3KAW",0.703817311116238,"CMGC","CMGC_CDK1"
"CDK1","A4Fuk",-0.867898703974942,"CMGC","CMGC_CDK1"
"CDK1","DB",0.274395769532157,"CMGC","CMGC_CDK1"
"CDK1","HT",-0.214294998215484,"CMGC","CMGC_CDK1"
"CDK1","MC116",0.383076327742163,"CMGC","CMGC_CDK1"
"CDK1","NUDUL1",-0.0198430618097872,"CMGC","CMGC_CDK1"
"CDK1","SLVL",0.488185518134328,"CMGC","CMGC_CDK1"
"CDK1","SUDHL16",-1.24060677786378,"CMGC","CMGC_CDK1"
"CDK1","TK",0.758405558601846,"CMGC","CMGC_CDK1"
"CDK1","WSUDLCL2",1.24883215946119,"CMGC","CMGC_CDK1"
"CDK2","A3KAW",-1.71669534849451,"CMGC","CMGC_CDK2"
"CDK2","A4Fuk",-2.47397473847411,"CMGC","CMGC_CDK2"
"CDK2","DB",-0.132009330744143,"CMGC","CMGC_CDK2"
"CDK2","HT",-0.553893630154003,"CMGC","CMGC_CDK2"
"CDK2","MC116",-0.638823808172916,"CMGC","CMGC_CDK2"
"CDK2","NUDUL1",-1.23826520688073,"CMGC","CMGC_CDK2"
"CDK2","SLVL",0.314472935336024,"CMGC","CMGC_CDK2"
